number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_size,params_learning_rate,params_num_layers,state
37,0.0006588235264644027,2026-06-04 21:13:34.223086,2026-06-04 21:13:39.479230,0 days 00:00:05.256144,leaky_relu,64,77,0.002669081457956495,1,COMPLETE
38,0.0006059623556211591,2026-06-04 21:13:39.479230,2026-06-04 21:13:56.293740,0 days 00:00:16.814510,relu,32,12,0.0016660029687247235,3,COMPLETE
39,0.00022159550280775875,2026-06-04 21:13:56.293740,2026-06-04 21:14:04.135016,0 days 00:00:07.841276,leaky_relu,64,85,0.0003876057019519653,2,COMPLETE
40,0.00027866812888532877,2026-06-04 21:14:04.135016,2026-06-04 21:14:15.758347,0 days 00:00:11.623331,leaky_relu,64,83,0.00013998899668144575,4,COMPLETE
41,0.0002978153061121702,2026-06-04 21:14:15.758347,2026-06-04 21:14:27.135035,0 days 00:00:11.376688,leaky_relu,64,84,0.00011573391943830388,4,COMPLETE
42,0.00032096897484734654,2026-06-04 21:14:27.135035,2026-06-04 21:14:40.479030,0 days 00:00:13.343995,leaky_relu,64,75,0.0001518402933215729,5,COMPLETE
43,0.0005209153750911355,2026-06-04 21:14:40.480030,2026-06-04 21:14:51.549660,0 days 00:00:11.069630,leaky_relu,64,68,0.00010564000632725946,4,COMPLETE
44,0.00043743749847635627,2026-06-04 21:14:51.550695,2026-06-04 21:15:05.012995,0 days 00:00:13.462300,leaky_relu,64,95,0.0002347442925551299,5,COMPLETE
45,0.0004099598154425621,2026-06-04 21:15:05.019231,2026-06-04 21:15:10.849389,0 days 00:00:05.830158,leaky_relu,128,85,0.0001977801153461588,4,COMPLETE
46,0.00027581251924857497,2026-06-04 21:15:10.849389,2026-06-04 21:15:31.897318,0 days 00:00:21.047929,leaky_relu,32,90,0.00041888511821313364,4,COMPLETE
47,0.0009164481307379901,2026-06-04 21:15:31.897318,2026-06-04 21:15:52.533854,0 days 00:00:20.636536,elu,32,80,0.0003789972737131205,4,COMPLETE
48,0.0012950260424986482,2026-06-04 21:15:52.534855,2026-06-04 21:16:16.929531,0 days 00:00:24.394676,tanh,32,73,0.00016575589976398038,5,COMPLETE
49,0.00035041209775954485,2026-06-04 21:16:16.929531,2026-06-04 21:16:37.867439,0 days 00:00:20.937908,leaky_relu,32,97,0.00011791753003871613,4,COMPLETE
