timestamp,name,algo,seed,base_reward,robust,sin_cos,num_timesteps,train_time_s,train_time_min,mean_reward
2026-06-18T07:19:44,ppo_baseR_sincos_robust,ppo,43,True,True,True,325000,168.5,2.81,181.235
2026-06-18T07:21:38,ppo_baseR_sincos_robust,ppo,44,True,True,True,225000,113.2,1.89,180.557
2026-06-18T07:23:05,ppo_baseR_sincos_robust,ppo,45,True,True,True,175000,87.1,1.45,181.354
2026-06-18T07:24:52,ppo_baseR_sincos_robust,ppo,46,True,True,True,200000,105.8,1.76,181.204
2026-06-18T07:27:17,ppo_baseR_sincos_robust,ppo,47,True,True,True,275000,144.7,2.41,180.883
2026-06-18T07:29:03,ppo_tunedR_sincos_robust,ppo,42,False,True,True,200000,103.1,1.72,181.507
2026-06-18T07:30:45,ppo_tunedR_sincos_robust,ppo,43,False,True,True,200000,101.0,1.68,181.114
2026-06-18T07:38:02,ppo_tunedR_sincos_robust,ppo,44,False,True,True,725000,435.8,7.26,172.903
2026-06-18T07:39:44,ppo_tunedR_sincos_robust,ppo,45,False,True,True,200000,101.0,1.68,180.577
2026-06-18T07:41:13,ppo_tunedR_sincos_robust,ppo,46,False,True,True,175000,88.3,1.47,181.356
2026-06-18T07:46:29,ppo_tunedR_sincos_robust,ppo,47,False,True,True,550000,314.7,5.24,172.051
